Code Departamento,distanciaRio,hayRioCercano,tipoDeSuelo,estacion,temperature_2m,total_evaporation_sum,volumetric_soil_water_layer_1,precipitation_1,precipitation_2,precipitation_3,precipitation_4,precipitation_5,precipitation_6,precipitation_7,seInunda
30008,25.96,False,Entisoles,verano,22.919316228230798,3.7220772355794,0.4270165761311849,1.6,28.7,20.5,0.1,0.0,0.4,0.0,1
30098,5.89,False,Entisoles,verano,22.91817690531417,4.338395781815,0.2396729787190755,2.3,21.5,14.4,0.0,0.0,0.0,0.0,1
30015,4.51,True,Vertisoles,verano,23.055953598022484,3.4779319539666,0.2461783091227213,5.6,36.9,19.8,0.2,0.1,0.1,0.0,1
18119,15.85,False,Molisoles,verano,22.696415837605798,3.2842839136719,0.4321206410725911,26.5,34.9,22.5,0.3,0.0,0.4,0.0,1
18168,3.13,True,Ultisoles,verano,24.608199691772484,3.3810213208198,0.4887746175130208,23.5,15.7,7.9,74.4,0.3,0.0,3.8,1
18049,11.96,False,Complejo indiferenci,verano,23.79635073343917,3.1634615734219,0.3705533345540364,4.5,37.6,29.1,0.2,0.5,0.0,0.1,1
18070,11.86,False,Rio,verano,25.00948549906417,4.0723429992794005,0.3581148783365885,6.2,64.6,53.7,1.3,0.0,0.0,1.6,1
18133,5.73,False,Rio,verano,26.31441713968917,5.427717231213999,0.2982584635416667,4.8,2.3,45.1,34.0,0.0,0.1,16.0,1
18077,41.46,False,Entisoles,verano,26.476689275105798,5.0402525812387,0.4406566619873047,8.8,0.0,25.6,71.8,0.0,0.0,14.0,1
18084,28.3,False,Alfisoles,verano,26.139286931355798,4.3384386226534,0.440808614095052,7.4,0.0,3.1,171.5,0.0,0.0,19.0,1
18084,28.3,False,Alfisoles,verano,26.139286931355798,4.3384386226534,0.440808614095052,7.4,0.0,3.1,171.5,0.0,0.0,19.0,1
22014,18.89,False,Rio,verano,26.116256332397484,5.6894440203905,0.4446086883544922,7.2,0.2,40.5,54.0,0.1,0.3,15.6,1
22140,11.88,False,Complejo indiferenci,verano,26.390019353230798,5.4823188111186,0.3526604970296224,3.1,32.8,70.2,8.6,0.2,0.0,3.8,1
22140,11.88,False,Complejo indiferenci,verano,26.390019353230798,5.4823188111186,0.3526604970296224,3.1,32.8,70.2,8.6,0.2,0.0,3.8,1
18133,5.73,False,Rio,primavera,20.78649482727053,7.3548378422856,0.292822519938151,0.0,1.7,4.1,6.7,7.9,0.0,0.0,1
18077,41.46,False,Entisoles,primavera,21.265905634562216,6.342484615743101,0.4144191741943359,0.0,2.5,3.5,11.4,13.4,0.0,0.0,1
18084,28.3,False,Alfisoles,primavera,21.020462926228845,6.626239977777,0.3985741933186849,0.0,12.2,0.2,8.5,10.7,0.0,0.0,1
18084,28.3,False,Alfisoles,primavera,21.020462926228845,6.626239977777,0.3985741933186849,0.0,12.2,0.2,8.5,10.7,0.0,0.0,1
22140,11.88,False,Complejo indiferenci,primavera,20.47863349914553,6.1433250084518995,0.3586591084798177,0.0,2.3,5.2,5.6,6.1,0.0,0.0,1
22140,11.88,False,Complejo indiferenci,primavera,20.47863349914553,6.1433250084518995,0.3586591084798177,0.0,2.3,5.2,5.6,6.1,0.0,0.0,1
22126,13.09,False,Molisoles,primavera,20.680700556437216,6.1002476140856,0.4144287109375,0.1,0.0,3.5,5.6,9.3,0.0,0.0,1
90084,7.44,False,Molisoles,primavera,19.18981513977053,3.8997782394289,0.468441645304362,0.7,0.0,0.0,0.0,7.8,19.1,0.2,1
06490,5.53,False,Miscelaneas,primavera,22.38733317057296,4.6290336176753,0.3064409891764323,0.0,8.8,0.7,14.1,0.0,0.0,0.0,1
06490,5.53,False,Miscelaneas,primavera,22.38733317057296,4.6290336176753,0.3064409891764323,0.0,8.8,0.7,14.1,0.0,0.0,0.0,1
06434,4.6,True,Miscelaneas,primavera,22.38733317057296,4.6290336176753,0.3064409891764323,0.0,8.8,0.7,14.1,0.0,0.0,0.0,1
06343,33.67,False,Complejo indiferenci,invierno,8.189134216308616,1.8511693924665,0.4344844818115234,0.0,0.0,3.9,0.0,0.0,0.0,0.3,1
06357,17.47,False,Molisoles,invierno,11.120001093546591,1.5711039304733,0.4588127136230469,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1
06630,28.56,False,Molisoles,invierno,11.192022577921648,1.3579595834016,0.454083760579427,0.0,0.0,0.0,0.1,0.0,3.6,0.0,1
06812,53.41,False,Lagunas,invierno,12.337611770629906,1.2681894004343999,0.4469369252522786,0.0,0.0,0.0,0.2,0.0,2.8,0.0,1
06693,10.28,False,Complejo indiferenci,invierno,10.579310989379906,1.1106505990028,0.3674265543619792,0.0,0.0,0.0,0.0,0.0,3.3,0.0,1
06343,33.67,False,Complejo indiferenci,invierno,11.402715937296591,0.6402693688869476,0.4561080932617187,0.0,0.0,0.0,0.0,0.0,2.3,0.0,1
06301,9.08,False,Complejo indiferenci,invierno,11.014613723754906,1.0911561548709,0.4590835571289062,0.0,0.0,0.0,0.0,0.0,3.2,0.0,1
06483,24.21,False,Molisoles,invierno,10.6762577056885,1.3081096112728,0.474822998046875,38.5,0.0,0.4,7.3,0.0,0.0,0.0,1
06574,22.27,False,Molisoles,invierno,10.730863825480185,1.2269094586372,0.4818058013916015,33.7,0.0,0.7,6.4,0.0,0.0,0.0,1
82014,16.67,False,Alfisoles,invierno,11.7416873931885,1.6588568687438,0.4826488494873047,7.0,0.5,5.0,16.2,0.3,0.0,0.0,1
82014,16.67,False,Alfisoles,invierno,14.193214035034202,1.8374212086200001,0.4300676981608073,0.0,0.0,24.5,8.0,0.6,16.6,78.2,1
82084,22.58,False,Alfisoles,invierno,11.917631403605242,1.6411617398262,0.4852339426676432,18.2,0.0,6.1,8.4,0.0,0.0,0.0,1
06539,18.44,False,Complejo indiferenci,invierno,13.496111170450888,2.022136002779,0.4511960347493489,0.0,0.0,1.0,13.7,1.5,13.3,34.8,1
06427,4.98,True,Molisoles,invierno,13.610043462117517,1.8861573189496001,0.4251778920491536,0.0,0.0,0.6,15.5,1.7,12.7,24.3,1
06532,20.35,False,Molisoles,invierno,13.306820805867517,1.9692685455083,0.4507274627685547,0.0,0.0,3.1,12.8,3.9,10.0,67.0,1
