Unnamed: 0,timeend,valor,rio_id,lat,lon
212766,2021-01-03,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212767,2021-01-04,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212768,2021-01-05,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212769,2021-01-06,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212770,2021-01-07,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212771,2021-01-08,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212772,2021-01-09,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212773,2021-01-10,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212774,2021-01-11,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212775,2021-01-12,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212776,2021-01-13,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212777,2021-01-14,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212778,2021-01-15,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212779,2021-01-16,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212780,2021-01-17,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212781,2021-01-18,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212782,2021-01-19,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212783,2021-01-20,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212784,2021-01-21,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212785,2021-01-22,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212786,2021-01-23,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212787,2021-01-26,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212788,2021-01-27,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212789,2021-01-28,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212790,2021-01-29,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212791,2021-01-30,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212792,2021-01-31,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212793,2021-02-01,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212794,2021-02-02,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212795,2021-02-03,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212796,2021-02-04,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212797,2021-02-05,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212798,2021-02-06,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212799,2021-02-07,1.32,9410-2823,-25.2677777777778,-65.2372222222222
212800,2021-02-08,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212801,2021-02-09,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212802,2021-02-10,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212803,2021-02-11,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212804,2021-02-12,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212805,2021-02-13,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212806,2021-02-14,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212807,2021-02-15,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212808,2021-02-16,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212809,2021-02-17,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212810,2021-02-18,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212811,2021-02-19,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212812,2021-02-20,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212813,2021-02-21,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212814,2021-02-23,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212815,2021-02-24,1.3,9410-2823,-25.2677777777778,-65.2372222222222
212816,2021-02-25,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212817,2021-02-26,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212818,2021-02-27,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212819,2021-02-28,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212820,2021-03-01,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212821,2021-03-02,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212822,2021-03-03,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212823,2021-03-04,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212824,2021-03-05,1.32,9410-2823,-25.2677777777778,-65.2372222222222
212825,2021-03-06,1.32,9410-2823,-25.2677777777778,-65.2372222222222
212826,2021-03-07,1.32,9410-2823,-25.2677777777778,-65.2372222222222
212827,2021-03-08,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212828,2021-03-09,1.29,9410-2823,-25.2677777777778,-65.2372222222222
212829,2021-03-13,1.32,9410-2823,-25.2677777777778,-65.2372222222222
212830,2021-03-14,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212831,2021-03-15,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212832,2021-03-16,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212833,2021-03-17,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212834,2021-03-18,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212835,2021-03-20,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212836,2021-03-21,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212837,2021-03-22,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212838,2021-03-23,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212839,2021-03-24,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212840,2021-03-25,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212841,2021-03-26,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212842,2021-03-27,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212843,2021-03-28,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212844,2021-03-29,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212845,2021-03-30,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212846,2021-03-31,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212847,2021-04-01,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212848,2021-04-02,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212849,2021-04-04,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212850,2021-04-05,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212851,2021-04-06,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212852,2021-04-07,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212853,2021-04-08,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212854,2021-04-09,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212855,2021-04-10,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212856,2021-04-11,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212857,2021-04-12,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212858,2021-04-13,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212859,2021-04-14,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212860,2021-04-15,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212861,2021-04-16,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212862,2021-04-17,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212863,2021-04-18,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212864,2021-04-19,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212865,2021-04-20,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212866,2021-04-21,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212867,2021-04-22,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212868,2021-04-23,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212869,2021-04-24,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212870,2021-04-25,1.33,9410-2823,-25.2677777777778,-65.2372222222222
212871,2021-04-26,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212872,2021-04-27,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212873,2021-04-28,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212874,2021-04-30,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212875,2021-05-01,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212876,2021-05-02,1.34,9410-2823,-25.2677777777778,-65.2372222222222
212877,2021-05-03,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212878,2021-05-04,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212879,2021-05-05,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212880,2021-05-06,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212881,2021-05-07,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212882,2021-05-08,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212883,2021-05-09,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212884,2021-05-10,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212885,2021-05-11,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212886,2021-05-12,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212887,2021-05-13,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212888,2021-05-14,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212889,2021-05-18,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212890,2021-05-19,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212891,2021-05-20,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212892,2021-05-21,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212893,2021-05-22,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212894,2021-05-23,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212895,2021-05-24,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212896,2021-05-25,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212897,2021-05-27,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212898,2021-05-28,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212899,2021-05-29,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212900,2021-05-30,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212901,2021-06-01,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212902,2021-06-02,1.45,9410-2823,-25.2677777777778,-65.2372222222222
212903,2021-06-03,1.46,9410-2823,-25.2677777777778,-65.2372222222222
212904,2021-06-05,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212905,2021-06-06,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212906,2021-06-07,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212907,2021-06-08,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212908,2021-06-09,1.48,9410-2823,-25.2677777777778,-65.2372222222222
212909,2021-06-10,1.45,9410-2823,-25.2677777777778,-65.2372222222222
212910,2021-06-11,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212911,2021-06-12,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212912,2021-06-13,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212913,2021-06-14,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212914,2021-06-15,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212915,2021-06-16,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212916,2021-06-17,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212917,2021-06-18,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212918,2021-06-19,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212919,2021-06-20,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212920,2021-06-22,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212921,2021-06-23,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212922,2021-06-24,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212923,2021-06-25,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212924,2021-06-26,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212925,2021-06-27,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212926,2021-06-28,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212927,2021-06-29,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212928,2021-06-30,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212929,2021-07-01,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212930,2021-07-02,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212931,2021-07-03,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212932,2021-07-04,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212933,2021-07-05,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212934,2021-07-06,1.44,9410-2823,-25.2677777777778,-65.2372222222222
