Dia,MAE,RMSE,Error_Porcentual,Deterioro_vs_Dia1
1,0.04959302193987428,0.0779486107603035,3.9049623574704153,0.0
2,0.06294437761628187,0.09117856500046624,4.956250206006446,26.92184334440144
3,0.0793528201419333,0.10506966823345734,6.248253554482938,60.008035481562885
4,0.08970460989712416,0.11482387599432815,7.063355110009777,80.88151596383959
5,0.10006705575276414,0.12551809303098385,7.879295728564106,101.77648354255102
6,0.10793036690557185,0.1346182007890435,8.498454087052902,117.63216413072138
7,0.11468088266113038,0.14227803401068972,9.029990760718928,131.24398993101792
