,rio_id,dias_faltantes
1,11-11,14
182,35-35,14
6,16-16,14
15,24-24,14
257,44-44,14
256,43-43,14
262,50-50,14
263,51-51,14
259,46-46,14
260,48-48,14
267,57-57,14
268,58-58,14
272,63-63,14
271,61-61,14
378,99-99,14
357,9-9,14
344,80-80,14
274,66-66,14
273,65-65,14
35,32-32,14
342,79-79,14
321,69-69,14
299,68-68,14
29,31-31,14
27,30-30,14
338,74-74,14
341,78-78,14
335,72-72,14
334,71-71,14
20,29-29,14
0,10-10,14
340,77-77,14
17,26-26,14
345,81-81,14
343,8-8,14
308,6840-2183,10
316,6874-2160,8
317,6876-2180,8
309,6845-2136,7
277,6697-2188,6
349,8242-2606,5
296,6785-2122,4
347,8230-2607,2
363,9197-2824,1
295,6778-2165,1
337,7355-2355,1
