ventana,run,mae_metros,rmse_metros,error_porcentual,train_mae,val_mae,overfitting
1,1,0.06675466136598582,0.07670966700475951,5.25627254850282,0.006293778773397207,0.02959997020661831,0.023306191433221102
1,2,0.07502852188706394,0.08204920086606642,5.907757628902672,0.0050598615780472755,0.0338648296892643,0.028804968111217022
1,3,0.07750302054381365,0.08473788806921173,6.102600042819972,0.005755868274718523,0.03512326255440712,0.029367394279688597
2,1,0.07786782517731185,0.08483013176946017,6.131324817111169,0.0072927409783005714,0.04239209368824959,0.03509935270994902
2,2,0.07676354902595275,0.08250430752916454,6.044373939051398,0.005837892182171345,0.037831082940101624,0.03199319075793028
2,3,0.08051210981631274,0.08554335515191548,6.3395362060088765,0.00477824080735445,0.027942683547735214,0.023164442740380764
4,1,0.07009894916838402,0.07575701580969525,5.519602296723152,0.006294675637036562,0.04969709366559982,0.04340241802856326
4,2,0.09802415308421847,0.10243559430431484,7.718437250725864,0.006883738096803427,0.034996408969163895,0.028112670872360468
4,3,0.07513154456394906,0.08042399861612831,5.915869650704651,0.006963958032429218,0.05220768600702286,0.04524372797459364
6,1,0.09174710398636865,0.09736997129987973,7.2241814162495,0.006963849999010563,0.06352196633815765,0.05655811633914709
6,2,0.06350918129436929,0.07121059277237696,5.000722936564511,0.0065002357587218285,0.057018864899873734,0.050518629141151905
6,3,0.0783758097244267,0.08494494572719653,6.171323600348559,0.004859895911067724,0.05030755326151848,0.045447657350450754
